,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Douradoquara,134.93333333333334,131.48333333333332,233.33333333333334,193.7,136.58333333333334,61.06666666666667,49.71666666666667,93.86666666666666,40.666666666666664,146.88333333333333,0.0,126.31666666666666,147.16666666666666,80.1,173.3,132.56666666666666,174.61666666666667,66.9,115.06666666666666,164.68333333333334,196.95,247.31666666666666,220.46666666666667,225.25,206.93333333333334,66.86666666666666,233.33333333333334,151.4,263.7,233.51666666666668,196.83333333333334,229.01666666666668,378.35,246.78333333333333,481.23333333333335
Guimarânia,147.36666666666667,114.63333333333334,144.25,104.61666666666666,141.55,64.65,91.26666666666667,98.75,85.06666666666666,28.516666666666666,124.2,0.0,105.45,78.21666666666667,75.66666666666667,104.7,61.18333333333333,87.06666666666666,33.2,51.25,111.76666666666667,160.35,131.38333333333333,117.36666666666666,93.5,99.46666666666667,144.25,74.93333333333334,155.81666666666666,125.63333333333334,88.96666666666667,115.58333333333333,270.46666666666664,133.35,405.46666666666664
Pedrinópolis,226.91666666666666,210.1,147.18333333333334,128.31666666666666,228.56666666666666,144.2,105.23333333333333,54.63333333333333,133.2,128.93333333333334,146.6,108.36666666666666,0.0,82.03333333333333,171.15,16.05,156.66666666666666,89.73333333333333,83.03333333333333,146.73333333333332,68.13333333333334,118.5,134.31666666666666,181.3,188.98333333333332,113.43333333333334,147.18333333333334,33.666666666666664,181.48333333333332,201.2,170.11666666666667,199.51666666666668,293.6166666666667,218.33333333333334,500.95
Iraí de Minas,158.75,155.3,175.86666666666667,136.23333333333332,160.38333333333333,84.88333333333334,36.5,27.983333333333334,64.46666666666667,97.75,77.86666666666666,77.18333333333334,81.28333333333333,0.0,139.96666666666667,66.68333333333334,125.48333333333333,25.333333333333332,57.583333333333336,115.55,131.06666666666666,181.41666666666666,163.0,167.76666666666668,157.8,44.7,175.86666666666667,93.93333333333334,206.23333333333332,176.03333333333333,139.36666666666667,168.76666666666668,320.8833333333333,193.18333333333334,469.76666666666665
Presidente Olegário,109.9,47.55,148.53333333333333,143.98333333333332,74.48333333333333,126.73333333333333,153.35,160.83333333333334,134.45,87.31666666666666,173.58333333333334,73.9,167.53333333333333,140.3,0.0,166.78333333333333,51.88333333333333,149.15,95.28333333333333,37.56666666666667,156.1,204.68333333333334,175.71666666666667,120.4,78.76666666666667,161.55,148.53333333333333,137.01666666666668,158.86666666666667,126.36666666666666,108.58333333333333,106.28333333333333,273.51666666666665,124.05,376.8333333333333
Santa Juliana,214.96666666666667,209.53333333333333,146.61666666666667,127.75,216.61666666666667,141.1,92.73333333333333,42.11666666666667,120.7,128.36666666666667,134.1,107.8,17.783333333333335,69.51666666666667,170.58333333333334,0.0,156.1,77.23333333333333,82.46666666666667,146.16666666666666,67.56666666666666,117.93333333333334,133.75,180.73333333333332,188.41666666666666,100.93333333333334,146.61666666666667,33.1,180.91666666666666,200.63333333333333,169.55,198.95,293.05,217.76666666666668,500.3833333333333
Lagoa Formosa,153.71666666666667,91.35,107.9,103.35,118.28333333333333,113.86666666666666,140.48333333333332,147.95,134.28333333333333,66.58333333333333,173.41666666666666,61.03333333333333,154.65,127.41666666666667,52.4,153.9,0.0,136.26666666666668,82.41666666666667,32.15,135.38333333333333,183.95,147.23333333333332,79.76666666666667,70.23333333333333,,107.9,,,,,,,,
Romaria,147.28333333333333,143.83333333333334,186.91666666666666,147.28333333333333,148.93333333333334,73.41666666666667,25.05,36.03333333333333,53.016666666666666,108.8,66.41666666666667,88.25,89.33333333333333,26.6,151.01666666666668,74.73333333333333,136.53333333333333,0.0,68.65,126.61666666666666,139.11666666666667,189.46666666666667,174.05,178.83333333333334,168.86666666666667,33.25,186.91666666666666,104.65,217.28333333333333,187.1,150.41666666666666,179.81666666666666,331.93333333333334,204.23333333333332,480.81666666666666
Patrocínio,149.8,132.98333333333332,127.25,87.63333333333334,151.43333333333334,67.08333333333333,71.46666666666667,78.95,87.5,51.81666666666667,112.83333333333333,31.25,79.45,58.416666666666664,94.01666666666667,78.7,79.55,67.26666666666667,0.0,69.61666666666666,94.78333333333333,143.35,114.4,119.16666666666667,111.86666666666666,79.66666666666667,127.25,48.95,157.63333333333333,127.43333333333334,90.76666666666667,120.16666666666667,272.28333333333336,144.58333333333334,423.8333333333333
Patos de Minas,137.16666666666666,74.8,129.7,126.51666666666667,101.73333333333333,104.3,130.91666666666666,138.4,124.71666666666667,64.88333333333334,163.85,51.46666666666667,145.1,117.86666666666666,35.85,144.33333333333334,33.05,126.7,72.85,0.0,133.66666666666666,182.25,153.28333333333333,101.58333333333333,65.16666666666667,139.11666666666667,129.7,114.58333333333333,140.03333333333333,107.53333333333333,89.75,87.45,254.68333333333334,105.21666666666667,377.1333333333333
