,Guarda-Mor,Lagamar,Campos Altos,Ibiá,Vazante,Coromandel,Monte Carmelo,Serra do Salitre,Abadia dos Dourados,Cruzeiro da Fortaleza,Douradoquara,Guimarânia,Pedrinópolis,Iraí de Minas,Presidente Olegário,Santa Juliana,Lagoa Formosa,Romaria,Patrocínio,Patos de Minas,Araxá,Tapira,Pratinha,São Gotardo,Varjão de Minas,Estrela do Sul,Campos Altos.1,Perdizes,Santa Rosa da Serra,Matutina,Rio Paranaíba,São João da Serra Negra,Pedra do Indaiá,Tiros,São Romão
Douradoquara,467.3366666666667,375.4916666666667,809.4691666666666,663.635,479.38666666666666,185.88833333333335,149.33333333333331,324.99583333333334,123.16333333333333,475.13416666666666,0.0,402.76583333333326,500.7733333333333,265.4825,530.7125,451.6058333333333,580.8783333333333,210.07999999999998,389.0383333333333,533.7941666666667,680.255,844.3483333333334,765.9708333333334,778.9525,706.1616666666667,161.58583333333334,809.4691666666666,545.485,917.8249999999999,781.0158333333333,673.9491666666667,727.2583333333333,1311.4125,813.4716666666666,1614.9316666666668
Guimarânia,514.8183333333334,379.7516666666666,485.37749999999994,339.54333333333335,464.43499999999995,217.85749999999996,309.3283333333333,340.265,292.46833333333336,77.30333333333334,409.9875,0.0,370.4175,255.83333333333331,227.60083333333333,372.985,193.43916666666667,298.0108333333333,86.2775,146.35500000000002,369.10583333333335,527.3175,441.87916666666666,400.35333333333335,318.7225,342.67333333333335,485.37749999999994,263.5766666666667,539.2258333333333,402.4166666666667,295.35833333333335,339.81916666666666,932.8133333333333,426.03249999999997,1319.3583333333333
Pedrinópolis,810.4033333333334,736.9925,502.53166666666664,430.3133333333333,822.4533333333333,513.4425,359.26166666666666,178.03416666666666,458.135,444.94416666666666,500.665,372.5758333333333,0.0,270.34416666666664,584.85,51.0,550.6858333333333,303.3041666666667,290.08666666666664,503.6016666666667,230.71916666666667,394.80999999999995,459.03083333333336,612.4749999999999,675.9691666666666,392.6066666666667,502.53166666666664,110.63083333333333,606.2516666666667,677.0450000000001,614.3608333333334,639.4508333333333,989.6783333333335,741.6266666666667,1676.6074999999998
Iraí de Minas,565.3824999999999,473.5375,610.8933333333334,465.05916666666667,577.4266666666667,283.93416666666667,122.3275,94.97416666666666,221.20083333333332,325.565,263.7308333333333,253.19666666666666,270.74916666666667,0.0,465.4708333333333,221.58416666666668,431.30916666666667,80.72666666666666,190.45416666666668,384.225,450.23333333333335,614.3183333333334,567.395,580.3683333333333,556.5925,155.67249999999999,610.8933333333334,346.9091666666667,719.2491666666667,582.4316666666666,475.3733333333334,500.4633333333333,1112.8366666666668,647.0216666666666,1557.2283333333335
Presidente Olegário,365.8925,162.7975,531.1166666666667,522.2291666666666,247.48916666666668,428.46916666666664,519.94,550.8766666666667,413.015,260.62833333333333,530.5366666666666,226.375,581.0291666666667,466.44500000000005,0.0,583.5966666666667,156.24666666666667,508.6225,296.88916666666665,92.36583333333333,539.0,697.2116666666667,611.7708333333334,411.13000000000005,254.2408333333333,553.285,531.1166666666667,474.1883333333333,550.0133333333333,401.81083333333333,370.5191666666667,302.62666666666667,943.5983333333332,388.8425,1207.9466666666667
Santa Juliana,756.1633333333333,739.2316666666667,504.77083333333337,432.555,768.2133333333334,474.715,313.1166666666667,131.88083333333333,411.99,447.18333333333334,454.52000000000004,374.815,53.47416666666666,224.18833333333333,587.0891666666666,0.0,552.9275,257.1591666666667,292.3258333333333,505.84333333333336,232.95833333333334,397.05166666666673,461.2725,614.7166666666667,678.2108333333333,346.4616666666667,504.77083333333337,112.8725,608.4908333333333,679.2866666666666,616.6025,641.6925,991.92,743.8683333333333,1678.8466666666666
Lagoa Formosa,511.66333333333336,308.5575,394.62999999999994,385.7425,393.24916666666667,397.1058333333333,488.5766666666667,519.505,471.7166666666667,167.98666666666665,589.2358333333333,195.01166666666666,549.6575,435.0733333333334,156.415,552.225,0.0,477.2508333333333,265.5258333333333,86.27250000000001,446.3666666666667,604.57,515.7766666666666,274.6458333333333,247.5366666666667,inf,394.62999999999994,inf,inf,inf,inf,inf,inf,inf,inf
Romaria,512.2666666666667,420.41916666666674,656.7683333333334,510.93416666666667,524.3166666666667,230.81833333333336,69.22,127.86666666666666,168.09333333333333,371.44,210.62333333333333,299.08,303.6416666666667,82.75750000000001,511.34583333333336,254.47666666666666,477.18416666666667,0.0,236.33750000000003,430.10833333333335,483.12583333333333,647.2108333333334,613.27,626.2516666666667,602.4758333333334,102.565,656.7683333333334,363.03749999999997,765.1241666666667,628.3149999999999,521.2483333333333,546.3383333333334,1158.7116666666666,692.8966666666666,1603.1033333333332
Patrocínio,520.2875,446.87666666666667,430.79,284.96166666666664,532.3291666666667,223.32666666666665,246.06083333333333,276.9975,297.9375,154.82833333333332,387.46416666666664,82.46000000000001,286.13,192.56583333333333,294.72583333333336,288.7,260.5725,234.7458333333333,0.0,213.48833333333332,314.52416666666664,472.7275,387.29749999999996,400.27083333333337,385.85583333333335,279.4058333333333,430.79,179.29999999999998,539.1541666666667,402.33416666666665,295.2783333333333,320.36833333333334,932.7391666666667,466.92416666666674,1386.4916666666668
Patos de Minas,446.3833333333333,243.28,462.52,429.97583333333336,327.9716666666667,349.00749999999994,440.47833333333335,471.41499999999996,423.61833333333334,181.16666666666666,541.1374999999999,146.91333333333336,501.5675,386.98583333333335,91.1375,504.12666666666667,87.65,429.15500000000003,217.4275,0.0,459.5383333333333,617.75,532.3116666666667,342.5441666666667,212.19833333333335,473.8233333333333,462.52,394.7266666666666,481.41666666666663,333.21416666666664,301.9225,234.03,875.0041666666667,320.2458333333334,1212.8366666666666
